Origin,Destination,Carrier,Month,Delay Percentage,Total Flights,Delay Flights,Total Delay Time(min),Carrier Delay,Weather Delay,NAS Delay,Security Delay,Aircraft Delay
BWI,SLC,WN,11,36%,150,54,712,364,0,131,7,210
BWI,TPA,WN,11,33%,814,270,6724,2716,40,1145,0,2823
CLT,BWI,WN,11,57%,175,99,2414,773,113,429,0,1099
CLT,MCO,WN,11,58%,31,18,282,3,0,63,0,216
CLT,MDW,WN,11,24%,177,43,1221,507,78,133,0,503
DCA,ATL,WN,11,45%,341,155,2544,443,25,960,13,1103
DCA,FLL,WN,11,17%,30,5,106,40,0,1,0,65
DCA,MCO,WN,11,47%,30,14,1553,550,0,69,0,934
DCA,MDW,WN,11,22%,508,110,1876,459,170,211,0,1036
DCA,TPA,WN,11,25%,116,29,679,65,37,179,0,398
DEN,ATL,WN,11,42%,317,134,3802,856,53,580,0,2313
DEN,BOS,WN,11,33%,289,94,1946,514,50,354,0,1028
DEN,BWI,WN,11,37%,471,175,3479,1023,13,615,0,1828
DEN,DTW,WN,11,39%,294,114,2335,1008,0,175,0,1152
DEN,EWR,WN,11,51%,309,158,6340,2218,624,2341,0,1157
DEN,FLL,WN,11,32%,226,73,1154,432,0,125,0,597
DEN,IAD,WN,11,32%,333,108,2208,999,23,222,0,964
DEN,LAS,WN,11,36%,1187,428,9129,2397,331,2212,0,4189
DEN,LAX,WN,11,41%,962,397,7666,2087,114,1701,0,3764
DEN,LGA,WN,11,48%,228,110,3892,1779,539,795,0,779
DEN,MCO,WN,11,33%,448,146,2559,1254,0,563,0,742
DEN,MDW,WN,11,36%,1137,405,10152,2841,320,1798,0,5193
DEN,MSP,WN,11,41%,581,236,4633,1355,88,567,0,2623
DEN,PDX,WN,11,39%,539,209,3865,1372,16,480,0,1997
DEN,PHL,WN,11,44%,340,149,3359,1057,577,886,0,839
DEN,PHX,WN,11,35%,1264,438,9736,2897,123,1426,0,5290
DEN,SAN,WN,11,37%,724,266,5411,1245,171,1435,0,2560
DEN,SEA,WN,11,39%,547,214,3883,1736,58,458,0,1631
DEN,SFO,WN,11,43%,555,238,8481,1979,1219,3222,0,2061
DEN,SLC,WN,11,42%,801,337,5858,2298,100,604,0,2856
DEN,TPA,WN,11,33%,292,97,1875,864,0,169,0,842
DTW,ATL,WN,11,25%,118,29,806,379,214,139,0,74
DTW,BWI,WN,11,36%,447,160,3950,810,223,639,0,2278
DTW,DEN,WN,11,29%,292,86,2050,540,185,385,0,940
DTW,LAS,WN,11,28%,117,33,795,120,80,148,0,447
DTW,MCO,WN,11,25%,28,7,374,333,0,41,0,0
DTW,MDW,WN,11,36%,729,262,5493,1087,514,1562,0,2330
DTW,PHX,WN,11,25%,150,38,999,480,90,211,0,218
EWR,BWI,WN,11,45%,174,79,1918,126,12,337,1,1442
EWR,DEN,WN,11,33%,308,102,3174,870,7,510,0,1787
EWR,MDW,WN,11,32%,824,262,8148,1094,986,1141,68,4859
EWR,PHX,WN,11,34%,207,70,1958,278,0,404,12,1264
FLL,ATL,WN,11,26%,172,45,602,289,0,87,0,226
FLL,BWI,WN,11,32%,904,285,7227,1830,87,760,0,4550
FLL,DCA,WN,11,27%,30,8,150,47,0,13,0,90
FLL,DEN,WN,11,20%,224,44,1513,684,0,260,0,569
FLL,LAS,WN,11,20%,146,29,321,150,0,69,0,102
FLL,MCO,WN,11,22%,205,46,470,323,0,83,0,64
FLL,MDW,WN,11,28%,542,151,3705,1254,76,799,0,1576
FLL,PHL,WN,11,36%,329,119,3897,594,197,542,0,2564
FLL,PHX,WN,11,23%,30,7,17,7,0,0,0,10
FLL,TPA,WN,11,29%,736,212,5427,1141,32,158,0,4096
IAD,DEN,WN,11,29%,327,96,1923,857,48,221,0,797
IAD,LAS,WN,11,41%,59,24,782,523,0,142,0,117
IAD,MDW,WN,11,23%,577,133,3262,837,631,182,0,1612
IAD,SAN,WN,11,36%,36,13,105,10,0,92,0,3
LAS,ATL,WN,11,35%,269,93,2060,807,11,64,30,1148
LAS,BWI,WN,11,35%,469,166,3363,1461,144,302,0,1456
LAS,DEN,WN,11,31%,1209,375,8057,2297,267,723,0,4770
LAS,DTW,WN,11,44%,117,52,611,275,0,64,15,257
LAS,FLL,WN,11,42%,146,62,1666,989,3,180,0,494
LAS,IAD,WN,11,36%,59,21,595,165,0,59,0,371
LAS,LAX,WN,11,48%,1673,796,14635,4633,97,3299,52,6554
LAS,MCO,WN,11,45%,292,130,2572,1289,6,379,0,898
LAS,MDW,WN,11,30%,1172,350,8429,2799,88,1581,25,3936
LAS,PDX,WN,11,41%,574,236,4839,1734,0,659,0,2446
LAS,PHL,WN,11,43%,147,63,1975,512,87,181,0,1195
LAS,PHX,WN,11,36%,1624,581,10301,3528,33,735,52,5953
LAS,SAN,WN,11,43%,1614,686,13521,4022,697,1586,35,7181
LAS,SEA,WN,11,42%,571,239,5320,1745,30,658,0,2887
LAS,SFO,WN,11,50%,912,452,17429,2681,3310,6170,2,5266
LAS,SLC,WN,11,38%,820,309,6673,2018,0,287,0,4368
LAS,TPA,WN,11,31%,163,51,1307,612,0,74,0,621
LAX,ATL,WN,11,38%,264,99,1894,703,0,219,11,961
LAX,BWI,WN,11,40%,185,74,1731,326,0,206,0,1199
LAX,DEN,WN,11,41%,952,390,7652,1755,83,997,8,4809
LAX,LAS,WN,11,49%,1670,823,16466,3831,279,3212,0,9144
LAX,MDW,WN,11,36%,872,317,5635,1708,72,912,32,2911
LAX,PDX,WN,11,22%,60,13,431,181,0,14,0,236
LAX,PHX,WN,11,50%,1298,645,11730,3639,0,955,24,7112
LAX,SFO,WN,11,42%,1414,588,25503,2922,1139,11320,15,10107
LAX,SLC,WN,11,42%,404,168,3487,628,64,166,0,2629
LGA,ATL,WN,11,30%,342,104,2760,478,14,483,0,1785
LGA,BWI,WN,11,28%,178,50,1253,135,0,199,0,919
LGA,DEN,WN,11,33%,228,76,2764,648,57,539,0,1520
LGA,MDW,WN,11,34%,847,287,11015,1859,409,1850,35,6862
MCO,ATL,WN,11,35%,324,113,1525,509,8,466,82,460
MCO,BWI,WN,11,32%,1075,349,7314,2715,372,689,14,3524
MCO,CLT,WN,11,65%,31,20,454,279,0,37,0,138
MCO,DCA,WN,11,50%,30,15,1061,877,182,2,0,0
MCO,DEN,WN,11,30%,447,132,2963,1445,101,632,9,776
MCO,DTW,WN,11,25%,28,7,218,48,0,0,0,170
